result,algorithm_id,algorithm_version,algorithm,experimental,scenario,profile,mode,gated,input_rate,output_rate,channels,input_frames,output_frames,expected_output_frames,round_trip_frames,mse,snr_db,psnr_db,elapsed_ms,notes
"INFO PASS","lagrange_fd","v1","Experimental LagrangeFractionalDelay","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0005442578722533736","16.160091935319535","26.43922091814861","15",""
"INFO PASS","lagrange_fd_o6","v1-o6","Experimental LagrangeFractionalDelay","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.000525647199836199","16.311195577764497","26.59032456059357","18",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0005161821049945645","16.39010968667512","26.669238669504193","19",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.00048229078439136265","16.685049495061794","26.96417847789087","15",""
"INFO PASS","lagrange_fd","v1","Experimental LagrangeFractionalDelay","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0015113108950937655","14.738587022473393","20.595385318966436","12",""
"INFO PASS","lagrange_fd_o6","v1-o6","Experimental LagrangeFractionalDelay","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0015113108950937655","14.738587022473393","20.595385318966436","15",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0015113108950937655","14.738587022473393","20.595385318966436","14",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0003505463146222765","21.08467109821854","26.941469394711582","8",""
"INFO PASS","lagrange_fd","v1","Experimental LagrangeFractionalDelay","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","7.531566983463784E-10","76.85214843809729","87.320569088241","19",""
"INFO PASS","lagrange_fd_o6","v1-o6","Experimental LagrangeFractionalDelay","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","4.2927198021990725E-11","89.29367644948066","99.76209709962438","22",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","1.6400765905136093E-11","93.47236056947784","103.94078121962156","25",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","1.4499169845026345E-11","94.00757049473492","104.47599114487863","23",""
"INFO PASS","lagrange_fd","v1","Experimental LagrangeFractionalDelay","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","7.939668275049365E-10","77.15180967082621","87.09139894078385","23",""
"INFO PASS","lagrange_fd_o6","v1-o6","Experimental LagrangeFractionalDelay","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","6.318457807475944E-10","78.1437223499408","88.08331161989844","25",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","6.415071388144438E-10","78.07781831108338","88.01740758104101","26",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","7.179996649071687E-10","77.58859083202773","87.52818010198538","98",""
"INFO PASS","lagrange_fd","v1","Experimental LagrangeFractionalDelay","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.9976943115331328E-05","28.04540518835693","43.237473289830284","15",""
"INFO PASS","lagrange_fd_o6","v1-o6","Experimental LagrangeFractionalDelay","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.584151375564817E-05","29.05272873000658","44.24479683147993","17",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.362304923842012E-05","29.707952254748985","44.900020356222335","26",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.5127607028335032E-10","79.2529931752551","94.44506127672845","45",""
"INFO PASS","lagrange_fd","v1","Experimental LagrangeFractionalDelay","yes","Fixture speech 44.1k to 24k mono","SpeechFixture","RoundTrip","no","44100","24000","1","55125","30000","30000","55125","0.0002972252327205106","12.72514120570106","26.824465402618944","15",""
