result,algorithm_id,algorithm_version,algorithm,experimental,scenario,profile,mode,gated,input_rate,output_rate,channels,input_frames,output_frames,expected_output_frames,round_trip_frames,mse,snr_db,psnr_db,elapsed_ms,notes
"INFO PASS","lagrange_fd_o6_r098","v1-o6-r098","Experimental LagrangeFractionalDelay","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0005117952910028387","16.427176273590987","26.70630525642006","17",""
"INFO PASS","lagrange_fd_o6_r098_w48","v1-o6-r098-w48","Experimental LagrangeFractionalDelay","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0005134043067198485","16.41354405558189","26.692673038410963","21",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0005161821049945645","16.39010968667512","26.669238669504193","18",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.00048229078439136265","16.685049495061794","26.96417847789087","14",""
"INFO PASS","lagrange_fd_o6_r098","v1-o6-r098","Experimental LagrangeFractionalDelay","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0005620847552315772","19.034107088608163","24.890905385101206","13",""
"INFO PASS","lagrange_fd_o6_r098_w48","v1-o6-r098-w48","Experimental LagrangeFractionalDelay","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0001771984175968443","24.047526761849586","29.90432505834263","17",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0015113108950937655","14.738587022473393","20.595385318966436","14",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0003505463146222765","21.08467109821854","26.941469394711582","8",""
"INFO PASS","lagrange_fd_o6_r098","v1-o6-r098","Experimental LagrangeFractionalDelay","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","3.886176740020351E-11","89.72577638682424","100.19419703696795","21",""
"INFO PASS","lagrange_fd_o6_r098_w48","v1-o6-r098-w48","Experimental LagrangeFractionalDelay","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","3.887397164634742E-11","89.72441273173723","100.19283338188094","27",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","1.6400765905136093E-11","93.47236056947784","103.94078121962156","25",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","1.4499169845026345E-11","94.00757049473492","104.47599114487863","22",""
"INFO PASS","lagrange_fd_o6_r098","v1-o6-r098","Experimental LagrangeFractionalDelay","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","6.19709850951223E-10","78.2279492497837","88.16753851974136","35",""
"INFO PASS","lagrange_fd_o6_r098_w48","v1-o6-r098-w48","Experimental LagrangeFractionalDelay","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","6.136466086463092E-10","78.27064986351482","88.21023913347246","30",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","6.415071388144438E-10","78.07781831108338","88.01740758104101","27",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","7.179996649071687E-10","77.58859083202773","87.52818010198538","103",""
"INFO PASS","lagrange_fd_o6_r098","v1-o6-r098","Experimental LagrangeFractionalDelay","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.3880470592346867E-05","29.62665361448725","44.8187217159606","21",""
"INFO PASS","lagrange_fd_o6_r098_w48","v1-o6-r098-w48","Experimental LagrangeFractionalDelay","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.3899032087604799E-05","29.620849942435296","44.812918043908645","21",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.362304923842012E-05","29.707952254748985","44.900020356222335","27",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.5127607028335032E-10","79.2529931752551","94.44506127672845","121",""
"INFO PASS","lagrange_fd_o6_r098","v1-o6-r098","Experimental LagrangeFractionalDelay","yes","Fixture speech 44.1k to 24k mono","SpeechFixture","RoundTrip","no","44100","24000","1","55125","30000","30000","55125","0.0002835326528173466","12.929967150434912","27.0292913473528","16",""
"INFO PASS","lagrange_fd_o6_r098_w48","v1-o6-r098-w48","Experimental LagrangeFractionalDelay","yes","Fixture speech 44.1k to 24k mono","SpeechFixture","RoundTrip","no","44100","24000","1","55125","30000","30000","55125","0.0002842215267005796","12.919428284009252","27.018752480927137","21",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture speech 44.1k to 24k mono","SpeechFixture","RoundTrip","no","44100","24000","1","55125","30000","30000","55125","0.0002847220331169771","12.911787201616429","27.011111398534315","17",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture speech 44.1k to 24k mono","SpeechFixture","RoundTrip","no","44100","24000","1","55125","30000","30000","55125","0.00026994566082562535","13.14323445433953","27.242558651257415","15",""
"INFO","lagrange_fd_o6_r098","v1-o6-r098","Experimental LagrangeFractionalDelay","yes","Fixture speech 48k to 16k mono","SpeechFixture","RoundTrip","no","48000","16000","1","60000","20000","20000","60000","0.00045656923533846355","10.829071910419115","25.70044790994678","17","SNR 10.83 dB"
"INFO","lagrange_fd_o6_r098_w48","v1-o6-r098-w48","Experimental LagrangeFractionalDelay","yes","Fixture speech 48k to 16k mono","SpeechFixture","RoundTrip","no","48000","16000","1","60000","20000","20000","60000","0.00045763128434764565","10.818981296341253","25.690357295868917","22","SNR 10.82 dB"
"INFO","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture speech 48k to 16k mono","SpeechFixture","RoundTrip","no","48000","16000","1","60000","20000","20000","60000","0.0004609691363945308","10.787419867181242","25.658795866708907","36","SNR 10.79 dB"
"INFO","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture speech 48k to 16k mono","SpeechFixture","RoundTrip","no","48000","16000","1","60000","20000","20000","60000","0.0004475013604650146","10.91619475475195","25.787570754279617","15","SNR 10.92 dB"
