result,algorithm_id,algorithm_version,algorithm,experimental,scenario,profile,mode,gated,input_rate,output_rate,channels,input_frames,output_frames,expected_output_frames,round_trip_frames,mse,snr_db,psnr_db,elapsed_ms,notes
"INFO PASS","lagrange_fd_o6","v1-o6","Experimental LagrangeFractionalDelay","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.000525647199836199","16.311195577764497","26.59032456059357","16",""
"INFO PASS","lagrange_fd_o6_r090","v1-o6-r090","Experimental LagrangeFractionalDelay","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0005531668240167916","16.089577874502165","26.368706857331237","16",""
"INFO PASS","lagrange_fd_o6_r098","v1-o6-r098","Experimental LagrangeFractionalDelay","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0005117952910028387","16.427176273590987","26.70630525642006","17",""
"INFO PASS","lagrange_fd_o6_w48","v1-o6-w48","Experimental LagrangeFractionalDelay","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0005276975315383215","16.294288503710323","26.573417486539398","27",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0005161821049945645","16.39010968667512","26.669238669504193","18",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.00048229078439136265","16.685049495061794","26.96417847789087","12",""
"INFO PASS","lagrange_fd_o6","v1-o6","Experimental LagrangeFractionalDelay","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0015113108950937655","14.738587022473393","20.595385318966436","13",""
"INFO","lagrange_fd_o6_r090","v1-o6-r090","Experimental LagrangeFractionalDelay","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.005056273215485529","9.49381982461124","15.350618121104283","12","SNR 9.49 dB; PSNR 15.35 dB"
"INFO PASS","lagrange_fd_o6_r098","v1-o6-r098","Experimental LagrangeFractionalDelay","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0005620847552315772","19.034107088608163","24.890905385101206","13",""
"INFO PASS","lagrange_fd_o6_w48","v1-o6-w48","Experimental LagrangeFractionalDelay","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0007960924985464619","17.522489838011325","23.379288134504364","18",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0015113108950937655","14.738587022473393","20.595385318966436","14",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0003505463146222765","21.08467109821854","26.941469394711582","6",""
"INFO PASS","lagrange_fd_o6","v1-o6","Experimental LagrangeFractionalDelay","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","4.2927198021990725E-11","89.29367644948066","99.76209709962438","21",""
"INFO PASS","lagrange_fd_o6_r090","v1-o6-r090","Experimental LagrangeFractionalDelay","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","5.0077722353258706E-11","88.62455618772005","99.09297683786377","23",""
"INFO PASS","lagrange_fd_o6_r098","v1-o6-r098","Experimental LagrangeFractionalDelay","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","3.886176740020351E-11","89.72577638682424","100.19419703696795","28",""
"INFO PASS","lagrange_fd_o6_w48","v1-o6-w48","Experimental LagrangeFractionalDelay","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","4.279380827681362E-11","89.30719250103728","99.77561315118098","27",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","1.6400765905136093E-11","93.47236056947784","103.94078121962156","24",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","1.4499169845026345E-11","94.00757049473492","104.47599114487863","145",""
"INFO PASS","lagrange_fd_o6","v1-o6","Experimental LagrangeFractionalDelay","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","6.318457807475944E-10","78.1437223499408","88.08331161989844","26",""
"INFO PASS","lagrange_fd_o6_r090","v1-o6-r090","Experimental LagrangeFractionalDelay","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","6.301962351843813E-10","78.1550752040401","88.09466447399774","22",""
"INFO PASS","lagrange_fd_o6_r098","v1-o6-r098","Experimental LagrangeFractionalDelay","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","6.19709850951223E-10","78.2279492497837","88.16753851974136","24",""
"INFO PASS","lagrange_fd_o6_w48","v1-o6-w48","Experimental LagrangeFractionalDelay","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","6.19296849534476E-10","78.23084454071126","88.1704338106689","30",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","6.415071388144438E-10","78.07781831108338","88.01740758104101","32",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","7.179996649071687E-10","77.58859083202773","87.52818010198538","18",""
"INFO PASS","lagrange_fd_o6","v1-o6","Experimental LagrangeFractionalDelay","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.584151375564817E-05","29.05272873000658","44.24479683147993","17",""
"INFO PASS","lagrange_fd_o6_r090","v1-o6-r090","Experimental LagrangeFractionalDelay","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.9818702420272818E-05","28.079943350486637","43.27201145195999","17",""
"INFO PASS","lagrange_fd_o6_r098","v1-o6-r098","Experimental LagrangeFractionalDelay","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.3880470592346867E-05","29.62665361448725","44.8187217159606","17",""
"INFO PASS","lagrange_fd_o6_w48","v1-o6-w48","Experimental LagrangeFractionalDelay","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.592141160478126E-05","29.030879817926312","44.22294791939966","21",""
"INFO PASS","lagrange_fd_o8","v1-o8","Experimental LagrangeFractionalDelay","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.362304923842012E-05","29.707952254748985","44.900020356222335","19",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.5127607028335032E-10","79.2529931752551","94.44506127672845","12",""
"INFO PASS","lagrange_fd_o6","v1-o6","Experimental LagrangeFractionalDelay","yes","Fixture speech 44.1k to 24k mono","SpeechFixture","RoundTrip","no","44100","24000","1","55125","30000","30000","55125","0.00028891574630004953","12.848285842111428","26.947610039029314","14",""
"INFO PASS","lagrange_fd_o6_r090","v1-o6-r090","Experimental LagrangeFractionalDelay","yes","Fixture speech 44.1k to 24k mono","SpeechFixture","RoundTrip","no","44100","24000","1","55125","30000","30000","55125","0.00029995934689065203","12.685373970104298","26.78469816702218","14",""
"INFO PASS","lagrange_fd_o6_r098","v1-o6-r098","Experimental LagrangeFractionalDelay","yes","Fixture speech 44.1k to 24k mono","SpeechFixture","RoundTrip","no","44100","24000","1","55125","30000","30000","55125","0.0002835326528173466","12.929967150434912","27.0292913473528","15",""
