result,algorithm_id,algorithm_version,algorithm,experimental,scenario,profile,mode,gated,input_rate,output_rate,channels,input_frames,output_frames,expected_output_frames,round_trip_frames,mse,snr_db,psnr_db,elapsed_ms,notes
"INFO PASS","adaptive_kaiser_sinc","v1","Experimental AdaptiveKaiserSinc","yes","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.00032116506014406523","22.80377803227838","25.81407782046659","11",""
"INFO","filter_bank_sinc","v1","Experimental FixedRatioFilterBankSinc","yes","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.013428188004593937","6.590886820262743","9.601186608450952","11","SNR 6.59 dB; PSNR 9.60 dB"
"INFO PASS","halfband_cascade","v1","HalfBandCascade","yes","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","8.425516715841741E-06","38.61509550536582","41.62539529355403","10",""
"INFO PASS","right_wing_sinc","v1","RightWingSinc","yes","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","8.456122923114387E-06","38.59934807587652","41.609647864064726","34",""
"INFO PASS","rubato_table_sinc","v1","Experimental RubatoTableSinc","yes","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.001384325400839801","16.458679072967197","19.468978861155403","12",""
"INFO","sinc","v1","Sinc","no","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.061250000820441755","-3.764181934314811E-08","3.0102997505463875","5","MSE 0.06125; SNR -0.00 dB; PSNR 3.01 dB"
"INFO PASS","sinc_v2","v2","Sinc","no","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","4.327881154942948E-06","41.508307686985226","44.51860747517343","8",""
"INFO PASS","sinc_v3","v3","Sinc","no","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","2.2893217906598045E-05","34.27399253011296","37.284292318301176","10",""
"INFO","adaptive_kaiser_sinc","v1","Experimental AdaptiveKaiserSinc","yes","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.03980631947916352","2.30913870607095","7.064650418796061","27","MSE 0.03981; SNR 2.31 dB; PSNR 7.06 dB"
"INFO","filter_bank_sinc","v1","Experimental FixedRatioFilterBankSinc","yes","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.03973948690080419","2.316436394822447","7.071948107547559","26","MSE 0.03974; SNR 2.32 dB; PSNR 7.07 dB"
"INFO","halfband_cascade","v1","HalfBandCascade","yes","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.043277591623661085","1.9460281036816647","6.701539816406775","24","MSE 0.04328; SNR 1.95 dB; PSNR 6.70 dB"
"INFO","right_wing_sinc","v1","RightWingSinc","yes","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.03903553127013944","2.3940580041777855","7.1495697169028976","87","MSE 0.03904; SNR 2.39 dB; PSNR 7.15 dB"
"INFO","rubato_table_sinc","v1","Experimental RubatoTableSinc","yes","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.03985089013159099","2.304278683853575","7.059790396578686","29","MSE 0.03985; SNR 2.30 dB; PSNR 7.06 dB"
"INFO","sinc","v1","Sinc","no","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.07185380749407923","-0.25583891239455936","4.4996728003305515","77","MSE 0.07185; SNR -0.26 dB; PSNR 4.50 dB"
"INFO","sinc_v2","v2","Sinc","no","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.03819907089982985","2.488130949928458","7.243642662653568","48","MSE 0.0382; SNR 2.49 dB; PSNR 7.24 dB"
"INFO","sinc_v3","v3","Sinc","no","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.03776016335095376","2.5383203047469505","7.29383201747206","27","MSE 0.03776; SNR 2.54 dB; PSNR 7.29 dB"
"PASS","adaptive_kaiser_sinc","v1","Experimental AdaptiveKaiserSinc","yes","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44100","44100","48000","4.101224217343262E-09","67.80708857114337","80.72875732480797","42",""
"PASS","filter_bank_sinc","v1","Experimental FixedRatioFilterBankSinc","yes","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44100","44100","48000","1.0462235375800132E-07","53.7399788388153","66.66164759247992","36",""
"PASS","halfband_cascade","v1","HalfBandCascade","yes","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44100","44100","48000","2.504045627853533E-09","69.94980132117499","82.8714700748396","24",""
