result,algorithm_id,algorithm_version,algorithm,experimental,scenario,profile,mode,gated,input_rate,output_rate,channels,input_frames,output_frames,expected_output_frames,round_trip_frames,mse,snr_db,psnr_db,elapsed_ms,notes
"INFO PASS","adaptive_kaiser_sinc","v1","Experimental AdaptiveKaiserSinc","yes","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.00032116506014406523","22.80377803227838","25.81407782046659","14",""
"INFO","hybrid","v1","Hybrid","no","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.061250000820441755","-3.764181934314811E-08","3.0102997505463875","0","MSE 0.06125; SNR -0.00 dB; PSNR 3.01 dB"
"INFO PASS","hybrid_v2","v2","Hybrid","yes","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","4.327881154942948E-06","41.508307686985226","44.51860747517343","7",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","4.327881154942948E-06","41.508307686985226","44.51860747517343","8",""
"INFO PASS","right_wing_sinc","v1","RightWingSinc","yes","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","8.456122923114387E-06","38.59934807587652","41.609647864064726","35",""
"INFO","sinc","v1","Sinc","no","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.061250000820441755","-3.764181934314811E-08","3.0102997505463875","18","MSE 0.06125; SNR -0.00 dB; PSNR 3.01 dB"
"INFO PASS","sinc_v2","v2","Sinc","no","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","4.327881154942948E-06","41.508307686985226","44.51860747517343","6",""
"INFO PASS","sinc_v3","v3","Sinc","no","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","2.2893217906598045E-05","34.27399253011296","37.284292318301176","10",""
"INFO","adaptive_kaiser_sinc","v1","Experimental AdaptiveKaiserSinc","yes","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.039806319479099704","2.3091387060779125","7.064650418803025","30","MSE 0.03981; SNR 2.31 dB; PSNR 7.06 dB"
"INFO","hybrid","v1","Hybrid","no","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.07185380749407923","-0.25583891239455936","4.4996728003305515","13","MSE 0.07185; SNR -0.26 dB; PSNR 4.50 dB"
