result,algorithm_id,algorithm_version,algorithm,experimental,scenario,profile,mode,gated,input_rate,output_rate,channels,input_frames,output_frames,expected_output_frames,round_trip_frames,mse,snr_db,psnr_db,elapsed_ms,notes
"INFO PASS","ratio_aware_lagrange_hybrid","v1","Experimental RatioAwareLagrangeHybrid","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.00048229078439136265","16.685049495061794","26.96417847789087","14",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.00048229078439136265","16.685049495061794","26.96417847789087","15",""
"INFO PASS","ratio_aware_lagrange_hybrid","v1","Experimental RatioAwareLagrangeHybrid","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0003505463146222765","21.08467109821854","26.941469394711582","7",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0003505463146222765","21.08467109821854","26.941469394711582","7",""
"INFO PASS","ratio_aware_lagrange_hybrid","v1","Experimental RatioAwareLagrangeHybrid","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","1.4499169845026345E-11","94.00757049473492","104.47599114487863","26",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture music 48k to 44.1k stereo","MusicFixture","RoundTrip","no","48000","44100","2","60000","55125","55125","60000","1.4499169845026345E-11","94.00757049473492","104.47599114487863","25",""
"INFO PASS","ratio_aware_lagrange_hybrid","v1","Experimental RatioAwareLagrangeHybrid","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","6.318457807475944E-10","78.1437223499408","88.08331161989844","31",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture music 96k to 48k stereo","MusicFixture","RoundTrip","no","96000","48000","2","72000","36000","36000","72000","7.179996649071687E-10","77.58859083202773","87.52818010198538","21",""
"INFO PASS","ratio_aware_lagrange_hybrid","v1","Experimental RatioAwareLagrangeHybrid","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.5127607028335032E-10","79.2529931752551","94.44506127672845","19",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture percussion 44.1k to 48k stereo","PercussionFixture","RoundTrip","no","44100","48000","2","44100","48000","48000","44100","1.5127607028335032E-10","79.2529931752551","94.44506127672845","20",""
"INFO PASS","ratio_aware_lagrange_hybrid","v1","Experimental RatioAwareLagrangeHybrid","yes","Fixture speech 44.1k to 24k mono","SpeechFixture","RoundTrip","no","44100","24000","1","55125","30000","30000","55125","0.00026994566082562535","13.14323445433953","27.242558651257415","14",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture speech 44.1k to 24k mono","SpeechFixture","RoundTrip","no","44100","24000","1","55125","30000","30000","55125","0.00026994566082562535","13.14323445433953","27.242558651257415","13",""
"INFO","ratio_aware_lagrange_hybrid","v1","Experimental RatioAwareLagrangeHybrid","yes","Fixture speech 48k to 16k mono","SpeechFixture","RoundTrip","no","48000","16000","1","60000","20000","20000","60000","0.0004475013604650146","10.91619475475195","25.787570754279617","31","SNR 10.92 dB"
"INFO","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture speech 48k to 16k mono","SpeechFixture","RoundTrip","no","48000","16000","1","60000","20000","20000","60000","0.0004475013604650146","10.91619475475195","25.787570754279617","9","SNR 10.92 dB"
