result,algorithm_id,algorithm_version,algorithm,experimental,scenario,profile,mode,gated,input_rate,output_rate,channels,input_frames,output_frames,expected_output_frames,round_trip_frames,mse,snr_db,psnr_db,elapsed_ms,notes
"INFO PASS","cubic","v1","Experimental Cubic","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0005416794590642973","16.18071545920277","26.459844442031837","1",""
"INFO PASS","halfband_cascade","v1","HalfBandCascade","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0004954214212770226","16.568391321157748","26.847520303986823","17",""
"INFO PASS","hybrid","v1","Hybrid","no","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0005973536892271288","15.755823627929903","26.034952610758975","0",""
"INFO PASS","lagrange_fd","v1","Experimental LagrangeFractionalDelay","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0005442578722533736","16.160091935319535","26.43922091814861","18",""
"INFO PASS","lanczos","v1","Experimental Lanczos","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0006123645645342828","15.648038614108145","25.92716759693722","3",""
"INFO PASS","linear","v1","Linear","no","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0005973536892271288","15.755823627929903","26.034952610758975","0",""
"INFO PASS","nearest_neighbor","v1","Experimental NearestNeighbor","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0008925143144042683","14.011987228303354","24.29111621113243","0",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.00048229078439136265","16.685049495061794","26.96417847789087","14",""
"INFO PASS","right_wing_sinc","v1","RightWingSinc","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0005222797773521676","16.33910702710579","26.61823600993486","72",""
"INFO PASS","sinc","v1","Sinc","no","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0008747023639525709","14.099536127694197","24.37866511052327","13",""
"INFO PASS","sinc_v2","v2","Sinc","no","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0004994001503448953","16.533652442515702","26.812781425344774","12",""
"INFO PASS","sinc_v3","v3","Sinc","no","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.00048575362011342996","16.6539786711727","26.93310765400177","22",""
"INFO PASS","spline","v2","Spline","no","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.000587393003025471","15.82885144072315","26.107980423552224","4",""
"INFO PASS","wdl_sinc","v1","Experimental WDL_Sinc","yes","Fixture field 48k to 32k stereo","FieldRecordingFixture","RoundTrip","no","48000","32000","2","48000","32000","32000","48000","0.0007348229430241918","14.8563120539799","25.13544103680897","6",""
"INFO","cubic","v1","Experimental Cubic","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0290676903111773","1.8980199090360657","7.754818205529107","1","SNR 1.90 dB; PSNR 7.75 dB"
"INFO PASS","halfband_cascade","v1","HalfBandCascade","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0006561881373177623","18.361841405809088","24.21863970230213","10",""
"INFO","hybrid","v1","Hybrid","no","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0290676903111773","1.8980199090360657","7.754818205529107","0","SNR 1.90 dB; PSNR 7.75 dB"
"INFO PASS","lagrange_fd","v1","Experimental LagrangeFractionalDelay","yes","Fixture high-frequency 48k to 16k mono","HighFrequencyFixture","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.0015113108950937655","14.738587022473393","20.595385318966436","13",""
