result,algorithm_id,algorithm_version,algorithm,experimental,scenario,profile,mode,gated,input_rate,output_rate,channels,input_frames,output_frames,expected_output_frames,round_trip_frames,mse,snr_db,psnr_db,elapsed_ms,notes
"INFO PASS","halfband_cascade","v1","HalfBandCascade","yes","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","8.425516715841741E-06","38.61509550536582","41.62539529355403","12",""
"INFO","sinc","v1","Sinc","no","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.061250000820441755","-3.764181934314811E-08","3.0102997505463875","55","MSE 0.06125; SNR -0.00 dB; PSNR 3.01 dB"
"INFO PASS","sinc_v2","v2","Sinc","no","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","4.327881154942948E-06","41.508307686985226","44.51860747517343","6",""
"INFO PASS","sinc_v3","v3","Sinc","no","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","2.2893217906598045E-05","34.27399253011296","37.284292318301176","11",""
"INFO","wdl_sinc","v1","Experimental WDL_Sinc","yes","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","0.061250000820441755","-3.764181934314811E-08","3.0102997505463875","15","MSE 0.06125; SNR -0.00 dB; PSNR 3.01 dB"
"INFO","halfband_cascade","v1","HalfBandCascade","yes","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.04327759162351802","1.9460281036960212","6.701539816421133","23","MSE 0.04328; SNR 1.95 dB; PSNR 6.70 dB"
"INFO","sinc","v1","Sinc","no","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.07185380749407923","-0.25583891239455936","4.4996728003305515","21","MSE 0.07185; SNR -0.26 dB; PSNR 4.50 dB"
"INFO","sinc_v2","v2","Sinc","no","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.03819907089982985","2.488130949928458","7.243642662653568","42","MSE 0.0382; SNR 2.49 dB; PSNR 7.24 dB"
"INFO","sinc_v3","v3","Sinc","no","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.03776016335103104","2.5383203047380625","7.293832017463174","20","MSE 0.03776; SNR 2.54 dB; PSNR 7.29 dB"
"INFO","wdl_sinc","v1","Experimental WDL_Sinc","yes","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22049","22050","47997","0.06619059176135013","0.10069972178233626","4.856208023280458","32","MSE 0.06619; SNR 0.10 dB; PSNR 4.86 dB"
"PASS","halfband_cascade","v1","HalfBandCascade","yes","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44100","44100","48000","2.5040456279733914E-09","69.94980132096711","82.87147007463173","21",""
"PASS","sinc","v1","Sinc","no","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44100","44100","48000","1.2253229763764293E-09","73.05371793125721","85.97538668492183","26",""
"PASS","sinc_v2","v2","Sinc","no","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44100","44100","48000","2.616386223981765E-09","69.75920516509984","82.68087391876446","40",""
"PASS","sinc_v3","v3","Sinc","no","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44100","44100","48000","2.2281845346944503E-09","70.45671214723386","83.37838090089848","28",""
"PASS","wdl_sinc","v1","Experimental WDL_Sinc","yes","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44099","44100","47998","8.874596352048977E-09","64.45483022426971","77.37640636727177","8",""
"PASS","halfband_cascade","v1","HalfBandCascade","yes","Speech 48k to 16k mono","HarmonicBlend","RoundTrip","yes","48000","16000","1","48000","16000","16000","48000","0.0010342194462572795","13.789625032276842","26.682464840134607","12",""
"PASS","sinc","v1","Sinc","no","Speech 48k to 16k mono","HarmonicBlend","RoundTrip","yes","48000","16000","1","48000","16000","16000","48000","4.255449581814947E-07","47.646297533079206","60.53913734093697","30",""
"PASS","sinc_v2","v2","Sinc","no","Speech 48k to 16k mono","HarmonicBlend","RoundTrip","yes","48000","16000","1","48000","16000","16000","48000","3.3032263890757155E-07","48.74636863301315","61.63920844087091","9",""
"PASS","sinc_v3","v3","Sinc","no","Speech 48k to 16k mono","HarmonicBlend","RoundTrip","yes","48000","16000","1","48000","16000","16000","48000","3.33367892093415E-07","48.70651433725009","61.59935414510787","13",""
"PASS","wdl_sinc","v1","Experimental WDL_Sinc","yes","Speech 48k to 16k mono","HarmonicBlend","RoundTrip","yes","48000","16000","1","48000","16000","16000","48000","4.2269779071651255E-07","47.67545224767968","60.56829205553744","4",""
"INFO","halfband_cascade","v1","HalfBandCascade","yes","Sweep 48k to 32k mono","FrequencySweep","RoundTrip","no","48000","32000","1","48000","32000","32000","48000","0.11093581364909759","3.4543349922900815","6.45124292222654","12","MSE 0.1109; SNR 3.45 dB; PSNR 6.45 dB"
"INFO","sinc","v1","Sinc","no","Sweep 48k to 32k mono","FrequencySweep","RoundTrip","no","48000","32000","1","48000","32000","32000","48000","0.20149789095019033","0.862347674406355","3.859255604342815","10","MSE 0.2015; SNR 0.86 dB; PSNR 3.86 dB"
"INFO","sinc_v2","v2","Sinc","no","Sweep 48k to 32k mono","FrequencySweep","RoundTrip","no","48000","32000","1","48000","32000","32000","48000","0.1115559829049695","3.430124051717842","6.427031981654303","6","MSE 0.1116; SNR 3.43 dB; PSNR 6.43 dB"
"INFO","sinc_v3","v3","Sinc","no","Sweep 48k to 32k mono","FrequencySweep","RoundTrip","no","48000","32000","1","48000","32000","32000","48000","0.10940672444688174","3.5146125645731074","6.5115204945095675","12","MSE 0.1094; SNR 3.51 dB; PSNR 6.51 dB"
"INFO","wdl_sinc","v1","Experimental WDL_Sinc","yes","Sweep 48k to 32k mono","FrequencySweep","RoundTrip","no","48000","32000","1","48000","32000","32000","48000","0.16985270342854336","1.6043280861555536","4.601236016092013","3","MSE 0.1699; SNR 1.60 dB; PSNR 4.60 dB"
"PASS","halfband_cascade","v1","HalfBandCascade","yes","Transient 44.1k to 48k stereo","TransientPulse","RoundTrip","yes","44100","48000","2","44100","48000","48000","44100","6.794194699569577E-06","27.540897587103785","50.76347007686212","18",""
"PASS","sinc","v1","Sinc","no","Transient 44.1k to 48k stereo","TransientPulse","RoundTrip","yes","44100","48000","2","44100","48000","48000","44100","2.2843780983715663E-10","72.27459759207883","95.49717008183718","23",""
"PASS","sinc_v2","v2","Sinc","no","Transient 44.1k to 48k stereo","TransientPulse","RoundTrip","yes","44100","48000","2","44100","48000","48000","44100","7.461590063067063E-06","27.133963615072524","50.356536104830866","41",""
"PASS","sinc_v3","v3","Sinc","no","Transient 44.1k to 48k stereo","TransientPulse","RoundTrip","yes","44100","48000","2","44100","48000","48000","44100","5.417646897731116E-06","28.524170509881316","51.74674299963965","23",""
"PASS","wdl_sinc","v1","Experimental WDL_Sinc","yes","Transient 44.1k to 48k stereo","TransientPulse","RoundTrip","yes","44100","48000","2","44100","48000","48000","44099","6.267052944045394E-07","37.89174188708474","61.11421632234887","6",""
"PASS","halfband_cascade","v1","HalfBandCascade","yes","Upsample 16k to 48k mono","HarmonicBlend","RoundTrip","yes","16000","48000","1","16000","48000","48000","16000","0.0006890534255585726","15.553223077976616","28.446062873831618","11",""
"PASS","sinc","v1","Sinc","no","Upsample 16k to 48k mono","HarmonicBlend","RoundTrip","yes","16000","48000","1","16000","48000","48000","16000","2.3472780650387352E-38","360.2301066353888","373.1229464312438","8",""
"PASS","sinc_v2","v2","Sinc","no","Upsample 16k to 48k mono","HarmonicBlend","RoundTrip","yes","16000","48000","1","16000","48000","48000","16000","4.619249091619226E-08","57.29003821830692","70.18287801416191","6",""
"PASS","sinc_v3","v3","Sinc","no","Upsample 16k to 48k mono","HarmonicBlend","RoundTrip","yes","16000","48000","1","16000","48000","48000","16000","3.8156434984442755E-08","58.12007412795118","71.01291392380618","9",""
"PASS","wdl_sinc","v1","Experimental WDL_Sinc","yes","Upsample 16k to 48k mono","HarmonicBlend","RoundTrip","yes","16000","48000","1","16000","48000","48000","16000","7.725913114071236E-40","375.0562538416503","387.94909363750537","2",""
